City_Code,population
26,3452
28,16734
31,36424
41,3720
46,4636
47,4907
53,10397
70,255273
99,5619
122,8159
147,2783
154,14865
166,24548
168,27078
171,7918
182,15089
195,23104
229,23660
240,26070
246,43397
276,2897
326,2361
351,2535
466,7290
469,11371
472,8473
473,13944
478,15449
480,12555
481,23856
482,10499
483,8627
485,6641
487,3355
489,10923
490,13081
492,10923
494,18021
496,6786
498,15003
499,19829
502,16354
504,12688
505,4044
507,11197
508,3565
509,23808
510,21177
511,8687
512,2836
516,15892
517,4144
518,3377
520,9038
521,3836
522,13926
524,2491
525,4478
526,3081
528,3428
529,13687
530,5928
531,27328
532,13988
534,12915
535,3553
536,6159
537,13707
538,7634
541,15472
542,17137
543,8754
565,13794
577,4432
587,5362
627,10850
628,12688
633,4106
634,25215
635,4407
637,20837
638,24030
649,2133
652,2921
654,20012
658,3001
666,9059
681,28424
694,2364
696,7904
709,2228
763,2033
812,7754
831,11868
874,29433
913,6780
922,13531
939,18588
944,8159
961,10756
962,7099
963,11318
964,2784
965,3655
966,9272
967,4894
968,6968
975,8944
978,6087
997,2238
998,10541
1015,26810
1020,22412
1031,31723
1034,27079
1050,2354
1054,21727
1059,18882
1060,16461
1061,51877
1063,25370
1066,7465
1082,1572
1098,2445
1113,10636
1137,7004
1139,53867
1161,71193
1167,6949
1169,2350
1170,2185
1186,2244
1192,19347
1200,98872
1224,10490
1243,3172
1245,3704
1247,25244
1263,6232
1268,11926
1271,7256
1274,2913
1284,2729
1286,11708
1290,7543
1292,21326
1293,2286
1295,6921
1296,9169
1303,19099
1304,22089
1309,48856
1310,2339
1315,3598
1319,5611
1326,11400
1327,15791
1330,2740
1333,2390
1337,2632
1345,6870
1347,2656
1348,2899
1358,4360
1359,3651
1375,2251
2034,10919
2038,1982
2100,28492
2200,40519
2300,18476
2400,36998
2500,24921
2530,28713
2550,28404
2560,32132
2600,68105
2610,147362
2620,42803
2630,65610
2640,71640
2650,52192
2660,54184
2710,57929
2720,27785
2730,45875
2800,24355
3000,1036207
3557,4814
3560,4077
3563,4583
3564,2678
3570,20540
3574,5903
3576,2567
3604,3486
3611,8221
3616,40671
3617,3295
3618,2645
3638,4776
3640,10383
3641,4949
3647,2661
3650,13283
3652,5631
3659,2150
3660,4788
3709,2651
3710,2978
3720,6086
3725,2663
3726,2568
3727,4578
3730,21266
3750,8595
3760,9789
3763,5934
3765,4378
3768,2246
3769,4446
3770,3079
3778,2589
3779,9923
3780,66331
3787,2509
3788,5325
3791,2548
3793,2302
3795,3116
3796,2434
3797,82454
3823,3485
4000,323872
4001,6824
4005,1569
4100,8771
4201,11625
4203,4200
4501,2777
4502,2467
5000,562997
6000,31007
6100,217150
6200,156027
6300,63729
6400,114280
6500,107621
6600,212623
6700,50986
6800,64421
6900,110896
7000,87817
7100,162200
7200,49692
7300,82572
7400,257227
7500,33869
7600,57012
7700,62369
7800,46032
7900,274698
8000,40171
8200,52258
8300,273794
8400,157338
8500,82927
8600,175163
8700,93291
8800,42659
8900,35450
9000,223020
9100,69763
9200,20887
9300,25434
9400,32317
9500,47245
9600,45446
9700,67945
9800,16072
9999,16072
